courseId,name,class,lecturer,room,day,startSlot,endSlot,startTime,endTime,durationSlots,roomType,capacityNeed
LE1AE24,Perancangan Sistem Transportasi Udara,TL-7A,Oki Anita Candra Dewi  S.T.  M.T.,Coal Mill 202,Mon,10,14,15:50,19:10,4,theory,30
LE1AF25,Analisis Perancangan Sistem Logistik Terintegrasi,TL-7A,Oki Anita Candra Dewi  S.T.  M.T.,Auditorium,Tue,0,10,07:30,15:50,10,theory,30
LE1BO22,Manajemen Proyek,TL-7A,Siti Nurminarsih  S.T.  M.T.,Limestone,Wed,6,10,12:30,15:50,4,theory,30
LE1AI13,Kesehatan dan Keselamatan Kerja,TL-A,Putri AKSI,Coal Mill 207,Tue,0,6,07:30,12:30,6,theory,30
LE1AM23,Metode Metaheuristik,TL-A,TBA,Coal Mill 102,Thu,0,6,07:30,12:30,6,theory,30
3,Entreprise Resource Planning,TL-A,Muhammad Faisal Ibrahim  S.T.  M.T.,Coal Mill 204,Tue,6,12,12:30,17:30,6,theory,30
LE1MM13,Riset Operasi II,TL-3B,Siti Nurminarsih  S.T.  M.T.,G3.R6,Mon,8,14,14:10,19:10,6,theory,30
LE1BB13,Riset Pasar,TL-3B,Winda Narulidea  S.T.  M.T.,Auditorium,Thu,0,3,07:30,10:00,3,theory,30
LE1BC13,Sistem Produksi,TL-3B,Muhammad Faisal Ibrahim  S.T.  M.T.,Auditorium,Wed,0,3,07:30,10:00,3,theory,30
LE1AA24,Perancangan Sistem Transportasi Darat,TL-5B,Siti Nurminarsih  S.T.  M.T.,Coal Mill 102,Fri,6,14,12:30,19:10,8,theory,30
LE1BI02,Manajemen Organisasi dan Sumber Daya Manusia,TL-5B,Mirza Dwinanda Ilmawan  S.E.  M.M.,G3.R4,Tue,0,4,07:30,10:50,4,theory,30
LE1BJ23,Sistem Pengadaan,TL-5B,Muhammad Faisal Ibrahim  S.T.  M.T.,G4.R3,Mon,6,12,12:30,17:30,6,theory,30
LE1BK13,Penanganan Material dan Pengemasan,TL-5B,Winda Narulidea  S.T.  M.T.,Coal Mill 201,Tue,4,10,10:50,15:50,6,theory,30
LE1BL23,Perancangan Sistem Informasi Logistik,TL-5B,Muhammad Faisal Ibrahim  S.T.  M.T.,Coal Mill 201,Wed,3,9,10:00,15:00,6,theory,30
LE1MP12,Metodologi Penelitian,TL-7B,Oki Anita Candra Dewi  S.T.  M.T.,G3.R4,Fri,0,4,07:30,10:50,4,theory,30
LE1AE24,Perancangan Sistem Transportasi Udara,TL-7A,Oki Anita Candra Dewi  S.T.  M.T.,Aula A,Wed,10,14,15:50,19:10,4,theory,30
FA1A503,Kalkulus I,TIP-1A,Sekarsari Utami Wijaya  S.Stat,G3.R1,Thu,0,6,07:30,12:30,6,theory,30
FA1A303,Fisika Dasar+1,TIP-1A,Elita Fidiya Nugrahani  S.T.  M.Eng.  M.T.,G4.R3,Fri,10,14,15:50,19:10,4,theory,30
